Level,Hierarchical structure,Structure hiérarchique,Code,Parent ,Class title,Titres de classes,Class definition,Définitions de la classe
5,Detail (seven-digit standard codes or eight-character alphanumeric variant codes),Détail (codes types à sept chiffres ou codes de variante à huit caractères alphanumériques),1151394,115139A,Mustard seeds,Graines de moutarde,Unprocessed mustard seeds.,Graines de moutarde non transformées.
6,Detail (eight-digit variant codes),Détail (codes de variante à huit chiffres),11513941,1151394,Brown mustard seeds,Graines de moutarde brune,Unprocessed brown mustard seeds.,Graines de moutarde brune non transformées.
6,Detail (eight-digit variant codes),Détail (codes de variante à huit chiffres),11513942,1151394,Oriental mustard seeds,Graines de moutarde orientale,Unprocessed oriental mustard seeds.,Graines de moutarde orientale non transformées.
6,Detail (eight-digit variant codes),Détail (codes de variante à huit chiffres),11513943,1151394,Yellow mustard seeds,Graines de moutarde jaune,Unprocessed yellow mustard seeds.,Graines de moutarde jaune non transformées.
6,Detail (eight-digit variant codes),Détail (codes de variante à huit chiffres),11513944,1151394,Other mustard seeds,Autres graines de moutarde,Unprocessed other mustard seeds.,Autres graines de moutarde non transformées.
1,Section (three-character alphanumeric variant codes),Section (codes de variante à trois caractères alphanumériques),A14,,Fresh fruit,Fruits frais,"This section comprises fresh berries, fresh citrus fruit, fresh tropical and semitropical fruit (except citrus fruit), and other fresh fruit.","Cette section comprend les baies fraîches, les agrumes frais, les fruits tropicaux et semi-tropicaux frais (sauf les agrumes), et les autres fruits frais."
2,Group (three-digit standard codes or five-character alphanumeric variant codes),Groupe (codes types à trois chiffres ou codes de variante à cinq caractères alphanumériques),114AB,A14,Fresh fruit,Fruits frais,"This group comprises fresh berries, fresh citrus fruit, fresh tropical and semitropical fruit (except citrus fruit), and other fresh fruit.","Ce groupe comprend les baies fraîches, les agrumes frais, les fruits tropicaux et semi-tropicaux frais (sauf les agrumes), et les autres fruits frais."
3,Class (five-digit standard codes or six or seven-character alphanumeric variant codes),Classe (codes types à cinq chiffres ou codes de variante à six ou sept caractères alphanumériques),11411A,114AB,Fresh fruit,Fruits frais,"This class comprises fresh berries, fresh citrus fruit, fresh tropical and semitropical fruit (except citrus fruit), and other fresh fruit.","Cette classe comprend les baies fraîches, les agrumes frais, les fruits tropicaux et semi-tropicaux frais (sauf les agrumes), et les autres fruits frais."
4,Subclass (six-digit standard codes or seven or eight-character alphanumeric variant codes),Sous-classe (codes types à six chiffres ou codes de variante à sept ou huit caractères alphanumériques),114111,11411A,Fresh berries,Baies fraîches,This subclass comprises fresh berries.,Cette sous-classe comprend les baies fraîches.
5,Detail (seven-digit standard codes or eight-character alphanumeric variant codes),Détail (codes types à sept chiffres ou codes de variante à huit caractères alphanumériques),1141111,114111,Fresh strawberries,Fraises fraîches,Fresh strawberries.,Fraises fraîches.
6,Detail (eight-digit variant codes),Détail (codes de variante à huit chiffres),11411111,1141111,Fresh strawberries,Fraises fraîches,Fresh strawberries.,Fraises fraîches.
5,Detail (seven-digit standard codes or eight-character alphanumeric variant codes),Détail (codes types à sept chiffres ou codes de variante à huit caractères alphanumériques),1141112,114111,Fresh raspberries,Framboises fraîches,Fresh raspberries.,Framboises fraîches.
6,Detail (eight-digit variant codes),Détail (codes de variante à huit chiffres),11411121,1141112,Fresh raspberries,Framboises fraîches,Fresh raspberries.,Framboises fraîches.
5,Detail (seven-digit standard codes or eight-character alphanumeric variant codes),Détail (codes types à sept chiffres ou codes de variante à huit caractères alphanumériques),1141113,114111,Fresh cranberries,Canneberges fraîches,Fresh cranberries.,Canneberges fraîches.
6,Detail (eight-digit variant codes),Détail (codes de variante à huit chiffres),11411131,1141113,Fresh cranberries,Canneberges fraîches,Fresh cranberries.,Canneberges fraîches.
5,Detail (seven-digit standard codes or eight-character alphanumeric variant codes),Détail (codes types à sept chiffres ou codes de variante à huit caractères alphanumériques),1141114,114111,Fresh blueberries,Bleuets frais,Fresh blueberries.,Bleuets frais.
6,Detail (eight-digit variant codes),Détail (codes de variante à huit chiffres),11411141,1141114,Fresh highbush blueberries,Bleuets en corymbe frais,"Fresh highbush blueberries, also known as fresh cultivated blueberries.","Bleuets en corymbe frais, aussi appelés bleuets cultivés frais."
6,Detail (eight-digit variant codes),Détail (codes de variante à huit chiffres),11411142,1141114,Fresh lowbush blueberries,Bleuets nains frais,"Fresh lowbush blueberries, also known as wild blueberries.","Bleuets nains frais, aussi appelés bleuets sauvages frais."
5,Detail (seven-digit standard codes or eight-character alphanumeric variant codes),Détail (codes types à sept chiffres ou codes de variante à huit caractères alphanumériques),1141115,114111,Other fresh berries,Autres baies fraîches,Other fresh berries.,Autres baies fraîches.
6,Detail (eight-digit variant codes),Détail (codes de variante à huit chiffres),11411151,1141115,Fresh blackberries,Mûres sauvages fraîches,Fresh blackberries.,Mûres sauvages fraîches.
6,Detail (eight-digit variant codes),Détail (codes de variante à huit chiffres),11411152,1141115,Fresh mulberries,Mûres blanches fraîches,Fresh mulberries.,Mûres blanches fraîches.
6,Detail (eight-digit variant codes),Détail (codes de variante à huit chiffres),11411153,1141115,Fresh loganberries,Mûres de Logan fraîches,Fresh loganberries.,Mûres de Logan fraîches.
6,Detail (eight-digit variant codes),Détail (codes de variante à huit chiffres),11411154,1141115,Fresh gooseberries,Groseilles à maquereau fraîches,Fresh gooseberries.,Groseilles à maquereau fraîches.
6,Detail (eight-digit variant codes),Détail (codes de variante à huit chiffres),11411155,1141115,Fresh saskatoon berries,Amélanches fraîches,Fresh saskatoon berries.,Amélanches fraîches.
