Level/Niveau,Hierarchical structure,Structure hiérarchique,Code,Parent ,Class title,Titres de classes,Class definition,Définitions de la classe
4,Class (five-digit codes),Classe (codes à cinq chiffres),18341,183,Flavouring syrups and extracts,Sirops et extraits aromatisants,This class comprises flavouring syrups and extracts.,Cette classe comprend les sirops et les extraits aromatisants.
5,Subclass (six-digit codes),Sous-classe (codes à six chiffres),183411,18341,Liquid beverage bases and soft drink flavouring syrups,Bases liquides pour boissons et sirops aromatisants pour boissons gazeuses,This subclass comprises liquid beverage bases and soft drink flavouring syrups.,Cette sous-classe comprend les bases liquides pour boissons et les sirops aromatisants pour boissons gazeuses.
6,Detail (seven-digit codes),Détail (codes à sept chiffres),1834111,183411,Liquid beverage bases (except for soft drinks),Bases liquides pour boissons (sauf pour les boissons gazeuses),"Liquid beverage bases, except for soft drinks.","Bases liquides pour boissons, sauf pour les boissons gazeuses."
6,Detail (seven-digit codes),Détail (codes à sept chiffres),1834112,183411,Soft drink flavouring syrups and mixes,Sirops aromatisants et mélanges pour boissons gazeuses,Soft drink flavouring syrups and mixes.,Sirops aromatisants et mélanges pour boissons gazeuses.
5,Subclass (six-digit codes),Sous-classe (codes à six chiffres),183412,18341,Flavouring syrups and extracts (except for beverages),Sirops et extraits aromatisants (sauf pour les boissons),"This subclass comprises flavouring syrups, extracts and essences, and powders made from them, except for beverages.","Cette sous-classe comprend les sirops, les extraits et les essences aromatisants et les poudres fabriquées à partir de ces ingrédients, sauf pour les boissons."
6,Detail (seven-digit codes),Détail (codes à sept chiffres),1834121,183412,Flavouring syrups and extracts (except for beverages),Sirops et extraits aromatisants (sauf pour les boissons),"Flavouring syrups, extracts and essences, and powders made from them, except for beverages.","Sirops, extraits et essences aromatisants et poudres fabriquées à partir de ces ingrédients, sauf pour les boissons."
4,Class (five-digit codes),Classe (codes à cinq chiffres),18342,183,"Vinegar, mayonnaise, non-tomato sauces, salt, spices and sauce mixes","Vinaigre, mayonnaise, sauces autres qu'aux tomates, sel, épices et mélanges pour sauces","This class comprises vinegar, mayonnaise, non-tomato sauces, salt, spices and sauce mixes.","Cette classe comprend le vinaigre, la mayonnaise, les sauces autres qu'aux tomates, le sel, les épices et les mélanges pour sauces."
5,Subclass (six-digit codes),Sous-classe (codes à six chiffres),183421,18342,"Vinegar, mayonnaise, dressings, non-tomato sauces, and spreads","Vinaigre, mayonnaise, vinaigrettes, sauces autres qu'aux tomates, et tartinades","This subclass comprises vinegar, mayonnaise, dressings, non-tomato sauces, and spreads.","Cette sous-classe comprend le vinaigre, la mayonnaise, les vinaigrettes, les sauces autres qu'aux tomates, et les tartinades."
6,Detail (seven-digit codes),Détail (codes à sept chiffres),1834211,183421,Vinegar,Vinaigre,"Vinegar, and vinegar substitutes.",Vinaigre et succédanés de vinaigre.
6,Detail (seven-digit codes),Détail (codes à sept chiffres),1834212,183421,"Mayonnaise, salad dressings, and other sandwich spreads (except spreads of dairy, margarine or blended fats)","Mayonnaise, vinaigrettes, et autres tartinades pour sandwich (sauf les tartinades de produits laitiers, de margarine ou de mélanges de beurre)","Mayonnaise, salad dressings, and other sandwich spreads, except spreads of dairy, margarine or blended fats.","Mayonnaise, vinaigrettes, et autres tartinades pour sandwich, sauf les tartinades de produits laitiers, de margarine ou de mélanges de beurre."
6,Detail (seven-digit codes),Détail (codes à sept chiffres),1834213,183421,Condiments n.e.c.,Condiments n.c.a.,Condiments n.e.c.,Condiments n.c.a.
5,Subclass (six-digit codes),Sous-classe (codes à six chiffres),183422,18342,"Table salt, spices and sauce mixes","Sel de table, épices et mélanges pour sauces","This subclass comprises table salt, pepper, dry spices and dry sauce mixes.","Cette sous-classe comprend le sel de table, le poivre, les épices sèches et les mélanges secs pour sauces."
6,Detail (seven-digit codes),Détail (codes à sept chiffres),1834221,183422,"Table salt, pepper, and other dry spices, not prepared for retail sale","Sel de table, poivre et autres épices sèches, non préparés pour la vente au détail","Table salt, pepper, and other dry spices and herbs, not prepared for retail sale.","Sel de table, poivre et autres épices et herbes sèches, non préparés pour la vente au détail."
6,Detail (seven-digit codes),Détail (codes à sept chiffres),1834222,183422,"Table salt, pepper, and other dry spices, prepared for retail sale","Sel de table, poivre et autres épices sèches, préparés pour la vente au détail","Table salt, pepper, and other dry spices and herbs, prepared for retail sale.","Sel de table, poivre et autres épices et herbes sèches, préparés pour la vente au détail."
6,Detail (seven-digit codes),Détail (codes à sept chiffres),1834223,183422,"Dried sauce, gravy, dip, and frosting mixes","Préparation en poudre pour sauces, trempettes et glaçages","Dried sauce, gravy, dip, and frosting mixes.","Préparation en poudre pour sauces, trempettes et glaçages."
4,Class (five-digit codes),Classe (codes à cinq chiffres),18351,183,"Ketchup, canned tomato sauces, and preserved fruit and vegetables","Ketchup, sauces aux tomates et fruits et légumes en conserve","This class comprises ketchup, canned tomato sauces, and preserved fruit and vegetables.","Cette classe comprend le ketchup, les sauces aux tomates et les fruits et légumes en conserve."
