Level,Hierarchical structure,Code,Parent,Code title,Superscript,Code definition
1,Group,142,,Natural gas,,"This group comprises natural gas, a mixture of gaseous hydrocarbons consisting primarily of methane."
2,Class,14211,142,Natural gas,,"This class comprises natural gas, a mixture of gaseous hydrocarbons consisting primarily of methane."
3,Subclass,142111,14211,Natural gas,,"This subclass comprises natural gas, a mixture of gaseous hydrocarbons consisting primarily of methane."
4,Detail,1421111,142111,Natural gas,,"Natural gas, a mixture of gaseous hydrocarbons consisting primarily of methane."
1,Group,143,,Natural gas liquids (including condensate) and related products,,"This group comprises natural gas liquids (NGLs) and related products. NGLs are found in natural gas and include liquefied petroleum gases or LPGs (propane, butane), ethane, lease condensate, pentanes plus, among others."
2,Class,14311,143,Natural gas liquids (including condensate) and related products,,"This class comprises natural gas liquids (NGLs) and related products. NGLs are found in natural gas and include liquefied petroleum gases or LPGs (propane, butane), ethane, lease condensate, pentanes plus, among others."
3,Subclass,143111,14311,Liquefied petroleum gases (LPGs),,This subclass comprises liquefied petroleum gases (LPGs) consisting primarily of propane and butane.
4,Detail,1431111,143111,Propane and propane mixes,,Normally straight-chain gaseous paraffinic (saturated) hydrocarbon or compound (C3H8) extracted from natural gas or refinery gas streams. It is a colourless gas that boils at a temperature of -42° Celsius. Cover propane mixes.
4,Detail,1431112,143111,Butane and butane mixes,,Normally straight-chain or branch-chain gaseous paraffinic hydrocarbon (C4H10) extracted from natural gas or refinery gas streams. It is a colourless gas that boils at a temperature of -1° Celsius. Covers butane mixes.
3,Subclass,143112,14311,Natural gas liquids (except LPGs),,"This subclass comprises natural gas liquids, except liquefied petroleum gases (LPGs), and covers lease condensate and pentanes plus."
4,Detail,1431121,143112,Ethane,,Straight-chain gaseous paraffinic (saturated) hydrocarbon (C2H6) extracted predominantly from natural gas streams. It is a colourless gas that boils at a temperature of -88° Celsius.
4,Detail,1431122,143112,Lease condensate,,"Light liquid hydrocarbons recovered from lease separators or field facilities at associated and non-associated natural gas wells, mostly pentanes and heavier hydrocarbons. Normally enter the crude oil stream after production."
4,Detail,1431123,143112,Pentanes plus (including plant condensate),,"Mixture of mainly pentanes and heavier hydrocarbons that ordinarily contains butanes. Pentanes plus (also known as natural gasoline) is obtained from the processing of raw gas, condensate or crude oil."
4,Detail,1431124,143112,"Other natural gas liquids (NGLs) and related products, n.e.c.",,"Natural gas liquids other than ethane, propane and butane, and similar products."
1,Group,144,,Coal,,"This group comprises coal, a combustible black (hard coal) and brownish-black (brown coal) rock consisting of more than 50% by weight and more than 70% by volume of carbonaceous material. It is formed from plant remains that have been compacted, hardened and chemically altered, and metamorphosed by heat and pressure over geologic time."
2,Class,14411,144,Hard coal,,"This class comprises black coal ranked as hard coal, which includes anthracite and bituminous coal. Hard coal refers to coal of gross calorific value equal to or greater than 24,000 kJ/kg, on an ash-free but moist basis and with a mean random reflectance of vitrinite of at least 0.6%."
3,Subclass,144111,14411,Anthracite,,"This subclass comprises anthracite, a high rank hard, lustrous black coal destined primarily for residential and industrial (as steel making) or commercial applications. It has generally less than 10% volatile matter and a high carbon content (about 90% fixed carbon). Its gross calorific value is equal to or greater than 24,000 kJ/kg, on an ash-free but moist basis."
4,Detail,1441111,144111,Anthracite,,"High rank hard lustrous black coal destined primarily for residential and industrial (as steel making) or commercial applications. It has generally less than 10% volatile matter and a high carbon content (about 90% fixed carbon). Its gross calorific value is equal to or greater than 24,000 kJ/kg, on an ash-free but moist basis."
3,Subclass,144112,14411,Bituminous coal,,"This subclass comprises coking or metallurgical coal and other bituminous coal. Bituminous coal is a medium rank coal used for gasification, industrial coking and heat raising, and residential heat raising. It is characterized by higher volatile matter than anthracite (more than 10%) and lower carbon content (less than 90% fixed carbon). Its gross calorific value is equal to or greater than 24,000 kJ/kg, on an ash-free but moist basis."
4,Detail,1441121,144112,Coking (metallurgical) coal,,"Bituminous coal with a quality that allows the production of a coke suitable to support a blast furnace charge. Its gross calorific value is equal to or greater than 24,000 kJ/kg, on an ash-free but moist basis."
