profile_id,business_type_id,naics_code,geography_code,incorporation_status_code,revenue_band,distribution,data_suppressed,partial_suppression
ISED_2024_software_publisher_00_1_30k_5m_profit_margin,software_publisher,513211,00,1,30k_5m,profit_margin,False,False
ISED_2024_software_publisher_00_2_30k_5m_total_revenue,software_publisher,513211,00,2,30k_5m,total_revenue,False,False
ISED_2024_software_publisher_00_2_30k_5m_profit_margin,software_publisher,513211,00,2,30k_5m,profit_margin,False,False
ISED_2024_software_publisher_00_3_30k_5m_total_revenue,software_publisher,513211,00,3,30k_5m,total_revenue,False,False
ISED_2024_software_publisher_00_3_30k_5m_profit_margin,software_publisher,513211,00,3,30k_5m,profit_margin,False,True
ISED_2024_software_publisher_48_1_30k_5m_total_revenue,software_publisher,513211,48,1,30k_5m,total_revenue,True,True
ISED_2024_software_publisher_48_1_30k_5m_profit_margin,software_publisher,513211,48,1,30k_5m,profit_margin,True,True
ISED_2024_software_publisher_48_2_30k_5m_total_revenue,software_publisher,513211,48,2,30k_5m,total_revenue,True,True
ISED_2024_software_publisher_48_2_30k_5m_profit_margin,software_publisher,513211,48,2,30k_5m,profit_margin,True,True
ISED_2024_software_publisher_48_3_30k_5m_total_revenue,software_publisher,513211,48,3,30k_5m,total_revenue,True,True
ISED_2024_software_publisher_48_3_30k_5m_profit_margin,software_publisher,513211,48,3,30k_5m,profit_margin,True,True
ISED_2024_computer_systems_design_00_1_30k_5m_total_revenue,computer_systems_design,541514,00,1,30k_5m,total_revenue,False,False
ISED_2024_computer_systems_design_00_1_30k_5m_profit_margin,computer_systems_design,541514,00,1,30k_5m,profit_margin,False,False
ISED_2024_computer_systems_design_00_2_30k_5m_total_revenue,computer_systems_design,541514,00,2,30k_5m,total_revenue,False,False
ISED_2024_computer_systems_design_00_2_30k_5m_profit_margin,computer_systems_design,541514,00,2,30k_5m,profit_margin,False,False
ISED_2024_computer_systems_design_00_3_30k_5m_total_revenue,computer_systems_design,541514,00,3,30k_5m,total_revenue,False,False
ISED_2024_computer_systems_design_00_3_30k_5m_profit_margin,computer_systems_design,541514,00,3,30k_5m,profit_margin,False,True
ISED_2024_computer_systems_design_48_1_30k_5m_total_revenue,computer_systems_design,541514,48,1,30k_5m,total_revenue,False,False
ISED_2024_computer_systems_design_48_1_30k_5m_profit_margin,computer_systems_design,541514,48,1,30k_5m,profit_margin,False,False
ISED_2024_computer_systems_design_48_2_30k_5m_total_revenue,computer_systems_design,541514,48,2,30k_5m,total_revenue,False,False
ISED_2024_computer_systems_design_48_2_30k_5m_profit_margin,computer_systems_design,541514,48,2,30k_5m,profit_margin,False,False
ISED_2024_computer_systems_design_48_3_30k_5m_total_revenue,computer_systems_design,541514,48,3,30k_5m,total_revenue,False,False
ISED_2024_computer_systems_design_48_3_30k_5m_profit_margin,computer_systems_design,541514,48,3,30k_5m,profit_margin,False,True
