naics_code,description_en,description_fr,year
4412,Other motor vehicle dealers,Autres concessionnaires de véhicules automobiles,2024
4413,"Automotive parts, accessories and tire retailers","Détaillants de pièces, de pneus et d'accessoires pour véhicules automobiles",2024
4441,Building material and supplies dealers,Marchands de matériaux et fournitures de construction,2024
4442,Lawn and garden equipment and supplies retailers,Détaillants de matériel et fournitures pour le jardinage et l'entretien des pelouses,2024
4451,Grocery and convenience retailers,Épiceries et dépanneurs,2024
4452,Specialty food retailers,Détaillants d'alimentation spécialisés,2024
4453,"Beer, wine and liquor retailers","Détaillants de bière, de vin et de spiritueux",2024
4491,"Furniture, floor covering, window treatment and other home furnishings retailers","Détaillants de meubles, de revêtements de sol, garnitures de fenêtres et d'accessoires de maisons",2024
4492,Electronics and appliances retailers,Détaillants d'appareils électroniques et ménagers,2024
4551,Department stores,Grands détaillants,2024
4552,"Warehouse clubs, Supercentres and other general merchandise retailers","Clubs-entrepôts, supercentres et autres détaillants de marchandises diverses",2024
4561,Health and personal care retailers,Détaillants de produits de santé et de soins personnels,2024
4571,Gasoline stations,Stations-service,2024
4572,Fuel dealers,Marchands de combustibles,2024
4581,Clothing and clothing accessories retailers,Détaillants de vêtements et d'accessoires vestimentaires,2024
4582,Shoe retailers,Détaillants de chaussures,2024
4583,"Jewellery, luggage and leather goods retailers",Bijouteries et détaillants de bagages et de maroquinerie,2024
4591,"Sporting goods, hobby and musical instrument retailers","Détaillants d'articles de sport, de passe-temps et d'instruments de musique",2024
4592,Book retailers and news dealers,Librairies et marchands de journaux,2024
4593,Florists,Fleuristes,2024
4594,"Office supplies, stationery and gift retailers","Détaillants de fournitures de bureau, de papeterie et de cadeaux",2024
4595,Used merchandise retailers,Détaillants de marchandises d'occasion,2024
4599,Other miscellaneous store retailers,Autres détaillants de détail divers,2024
4811,Scheduled air transportation,Transport aérien régulier,2024
4812,Non-scheduled air transportation,Transport aérien non régulier,2024
4821,Rail transportation,Transport ferroviaire,2024
4831,"Deep sea, coastal and Great Lakes water transportation","Transport hauturier, côtier et sur les Grands Lacs",2024
4832,Inland water transportation,Transport sur les eaux intérieures,2024
4841,General freight trucking,Transport par camion de marchandises diverses,2024
4842,Specialized freight trucking,Transport par camion de marchandises spéciales,2024
4851,Urban transit systems,Services urbains de transport en commun,2024
4852,Interurban and rural bus transportation,Transport interurbain et rural par autocar,2024
4853,Taxi and limousine service,Services de taxi et de limousine,2024
4854,School and employee bus transportation,Transport scolaire et transport d'employés par autobus,2024
4855,Charter bus industry,Services d'autobus nolisés,2024
4859,Other transit and ground passenger transportation,Autres services de transport en commun et de transport terrestre de voyageurs,2024
4861,Pipeline transportation of crude oil,Transport du pétrole brut par oléoduc,2024
4862,Pipeline transportation of natural gas,Transport du gaz naturel par gazoduc,2024
4869,Other pipeline transportation,Autres services de transport par pipeline,2024
4871,"Scenic and sightseeing transportation, land",Transport terrestre de tourisme et d'agrément,2024
4872,"Scenic and sightseeing transportation, water",Transport par eau de tourisme et d'agrément,2024
4879,"Scenic and sightseeing transportation, other",Autres services de transport de tourisme et d'agrément,2024
4881,Support activities for air transportation,Activités de soutien au transport aérien,2024
4882,Support activities for rail transportation,Activités de soutien au transport ferroviaire,2024
4883,Support activities for water transportation,Activités de soutien au transport par eau,2024
4884,Support activities for road transportation,Activités de soutien au transport routier,2024
4885,Freight transportation arrangement,Intermédiaires en transport de marchandises,2024
4889,Other support activities for transportation,Autres activités de soutien au transport,2024
4911,Postal service,Services postaux,2024
4921,Couriers,Messageries,2024
4922,Local messengers and local delivery,Services locaux de messagers et de livraison,2024
4931,Warehousing and storage,Entreposage,2024
5121,Motion picture and video industries,Industries du film et de vidéo,2024
5122,Sound recording industries,Industries de l'enregistrement sonore,2024
5131,"Newspaper, periodical, book and directory publishers","Éditeurs de journaux, de périodiques, de livres et de répertoires",2024
5132,Software publishers,Éditeurs de logiciels,2024
5161,Radio and television broadcasting stations,Stations de radiodiffusion et de télédiffusion,2024
5162,"Media streaming distribution services, and other media networks and content providers",Services de distribution de contenu médiatique diffusé en continu et autres réseaux et fournisseurs de contenu médiatique,2024
5173,Wired and wireless telecommunications carriers(except satellite),Télécommunications par fil et sans fil (sauf par satellite),2024
5174,Satellite telecommunications,Télécommunications par satellite,2024
5179,Other telecommunications,Autres services de télécommunications,2024
5182,"Computing infrastructure providers, data processing, web hosting, and related services","Fournisseurs d'infrastructures informatiques, traitement de données, hébergement de données et services connexes",2024
5192,"Web search portals, libraries and archives, and all other information services","Portails de recherche Web, bibliothèques, archives et tous les autres services d'information",2024
5211,Monetary authorities - central bank,Autorités monétaires - banque centrale,2024
5221,Depository credit intermediation,Intermédiation financière par le biais de dépôts,2024
5222,Non-depository credit intermediation,Intermédiation financière non faite par le biais de dépôts,2024
5223,Activities related to credit intermediation,Activités liées à l'intermédiation financière,2024
5231,Securities and commodity contracts intermediation and brokerage,Intermédiation et courtage de valeurs mobilières et de contrats de marchandises,2024
5232,Securities and commodity exchanges,Bourses de valeurs mobilières et de marchandises,2024
5239,Other financial investment activities,Autres activités d'investissement financier,2024
5241,Insurance carriers,Sociétés d'assurance,2024
5242,"Agencies, brokerages and other insurance related activities",Agences et courtiers d'assurance et autres activités liées à l'assurance,2024
5261,Pension funds,Caisses de retraite,2024
5269,Other funds and financial vehicles,Autres fonds et instruments financiers,2024
5311,Lessors of real estate,Bailleurs de biens immobiliers,2024
5312,Offices of real estate agents and brokers,Bureaux d'agents et de courtiers immobiliers,2024
5313,Activities related to real estate,Activités liées à l'immobilier,2024
5321,Automotive equipment rental and leasing,Location et location à bail de matériel automobile,2024
5322,Consumer goods rental,Location de biens de consommation,2024
5323,General rental centres,Centres de location d'articles divers,2024
5324,Commercial and industrial machinery and equipment rental and leasing,Location et location à bail de machines et matériel d'usage commercial et industriel,2024
5331,Lessors of non-financial intangible assets (except copyrighted works),Bailleurs de biens incorporels non financiers (sauf les oeuvres protégées par le droit d'auteur),2024
5411,Legal services,Services juridiques,2024
5412,"Accounting, tax preparation, bookkeeping and payroll services","Services de comptabilité, de préparation de déclarations de revenus, de tenue de livres et de paye",2024
5413,"Architectural, engineering and related services","Architecture, génie et services connexes",2024
5414,Specialized design services,Services spécialisés de design,2024
5415,Computer systems design and related services,Conception de systèmes informatiques et services connexes,2024
5416,"Management, scientific and technical consulting services",Services de conseils en gestion et de conseils scientifiques et techniques,2024
5417,Scientific research and development services,Services de recherche et de développement scientifiques,2024
5418,"Advertising, public relations, and related services","Publicité, relations publiques et services connexes",2024
5419,"Other professional, scientific and technical services","Autres services professionnels, scientifiques et techniques",2024
5511,Management of companies and enterprises,Gestion de sociétés et d'entreprises,2024
5611,Office administrative services,Services administratifs de bureau,2024
5612,Facilities support services,Services de soutien d'installations,2024
5613,Employment services,Services d'emploi,2024
5614,Business support services,Services de soutien aux entreprises,2024
5615,Travel arrangement and reservation services,Services de préparation de voyages et de réservation,2024
5616,Investigation and security services,Services d'enquêtes et de sécurité,2024
5617,Services to buildings and dwellings,Services relatifs aux bâtiments et aux logements,2024
5619,Other support services,Autres services de soutien,2024
5621,Waste collection,Collecte de déchets,2024
5622,Waste treatment and disposal,Traitement et élimination des déchets,2024
5629,Remediation and other waste management services,Services d'assainissement et autres services de gestion des déchets,2024
