node_id,source_code,parent_code,label,definition,path_string,comparator_class_type,default_offer_template
CA_NAPCS_2022_7511121,7511121,751112,"Application service provisioning (except software as a service, on cloud)","Provision of leased software applications from a centralized, hosted, and managed computing environment, customized to the needs of each clients, except software as a service (SaaS), cloud-based or on demand.","Other information technology (IT) and information services / Data processing, hosting, and related services / Application service provisioning / Application service provisioning (except software as a service, on cloud)",ExternalProductDetail,BaseComparableOffer
CA_NAPCS_2022_7511122,7511122,751112,"Software as a service, on cloud","Provision of rented or leased software applications over the Internet, from a centralized, Internet-hosted, and managed cloud computing multi tenant environment, where all clients can use the same application, on demand, commonly (not exclusively) on a monthly or an annual fee basis. No installation of the application software is needed for the client.","Other information technology (IT) and information services / Data processing, hosting, and related services / Application service provisioning / Software as a service, on cloud",ExternalProductDetail,BaseComparableOffer
CA_NAPCS_2022_7511131,7511131,751113,Business process management services,"Services that analyze the way a business process is conducted, and identifies improvements that can be made by integrating existing and new software services, in order to improve information flows and increase automation of the process.","Other information technology (IT) and information services / Data processing, hosting, and related services / Business process management services / Business process management services",ExternalProductDetail,BaseComparableOffer
CA_NAPCS_2022_7511141,7511141,751114,Information technology (IT) infrastructure co-location services (except telecommunications facilities),"Information technology (IT) infrastructure co-location services, except telecommunications facilities, which provide storage capacity and Internet connections for rental to multiple retail clients.","Other information technology (IT) and information services / Data processing, hosting, and related services / Other information technology (IT) infrastructure provisioning services / Information technology (IT) infrastructure co-location services (except telecommunications facilities)",ExternalProductDetail,BaseComparableOffer
CA_NAPCS_2022_7511142,7511142,751114,Data storage infrastructure provisioning services,Services of providing the infrastructure and the management or administration of the storage and back-up of data.,"Other information technology (IT) and information services / Data processing, hosting, and related services / Other information technology (IT) infrastructure provisioning services / Data storage infrastructure provisioning services",ExternalProductDetail,BaseComparableOffer
CA_NAPCS_2022_7511143,7511143,751114,Data management infrastructure provisioning services,Services of providing the infrastructure and on-going management and administration of data as an organizational resource.,"Other information technology (IT) and information services / Data processing, hosting, and related services / Other information technology (IT) infrastructure provisioning services / Data management infrastructure provisioning services",ExternalProductDetail,BaseComparableOffer
CA_NAPCS_2022_7511144,7511144,751114,Video and audio streaming infrastructure provisioning services,Services of providing the infrastructure for sending audio and video data over the Internet or providing services to support video and audio streaming over the Internet.,"Other information technology (IT) and information services / Data processing, hosting, and related services / Other information technology (IT) infrastructure provisioning services / Video and audio streaming infrastructure provisioning services",ExternalProductDetail,BaseComparableOffer
CA_NAPCS_2022_7511146,7511146,751114,Infrastructure as a service (except data storage infrastructure provisioning),Infrastructure as a service (except data storage infrastructure provisioning).,"Other information technology (IT) and information services / Data processing, hosting, and related services / Other information technology (IT) infrastructure provisioning services / Infrastructure as a service (except data storage infrastructure provisioning)",ExternalProductDetail,BaseComparableOffer
CA_NAPCS_2022_7511147,7511147,751114,Platform as a service,"Platform as a service (PaaS), or application platform as a service (aPaaS), refers to a category of cloud computing services that allows customers to provision, run, and manage a modular bundle of one or more applications and based on IT infrastructure as a service.","Other information technology (IT) and information services / Data processing, hosting, and related services / Other information technology (IT) infrastructure provisioning services / Platform as a service",ExternalProductDetail,BaseComparableOffer
CA_NAPCS_2022_7511149,7511149,751114,"Other information technology (IT) infrastructure provisioning services, n.e.c.","Other information technology (IT) infrastructure provisioning services, n.e.c.","Other information technology (IT) and information services / Data processing, hosting, and related services / Other information technology (IT) infrastructure provisioning services / Other information technology (IT) infrastructure provisioning services, n.e.c.",ExternalProductDetail,BaseComparableOffer
CA_NAPCS_2022_7511151,7511151,751115,Network management services,Services of managing and monitoring communication networks and connected hardware to diagnose networking problems and gather capacity and usage statistics for the administration and fine-tuning of network traffic.,"Other information technology (IT) and information services / Data processing, hosting, and related services / Information technology (IT) infrastructure and network management services / Network management services",ExternalProductDetail,BaseComparableOffer
CA_NAPCS_2022_7511152,7511152,751115,Computer systems management services,Providing day-to-day management and operation of a client's computer system.,"Other information technology (IT) and information services / Data processing, hosting, and related services / Information technology (IT) infrastructure and network management services / Computer systems management services",ExternalProductDetail,BaseComparableOffer
CA_NAPCS_2022_7511161,7511161,751116,Imaging and other data capture services,"Services of converting paper documents into digital or other machine-readable formats. These services generally involve the following components: document preparation; scanning, optical character recognition, and other data capture activities; and the delivery or output of the information captured into a database or a physical medium.","Other information technology (IT) and information services / Data processing, hosting, and related services / Information and document transformation services / Imaging and other data capture services",ExternalProductDetail,BaseComparableOffer
CA_NAPCS_2022_7511162,7511162,751116,Data conversion and migration services,Services of moving data from one storage device to another or from one file format to another.,"Other information technology (IT) and information services / Data processing, hosting, and related services / Information and document transformation services / Data conversion and migration services",ExternalProductDetail,BaseComparableOffer
CA_NAPCS_2022_7512111,7512111,751211,Lending library services,Providing access to library resources.,Other information technology (IT) and information services / Other information services / Other information services / Lending library services,ExternalProductDetail,BaseComparableOffer
CA_NAPCS_2022_7512112,7512112,751211,Archival institution services,"Providing access to archives, and other archive-related services.",Other information technology (IT) and information services / Other information services / Other information services / Archival institution services,ExternalProductDetail,BaseComparableOffer
CA_NAPCS_2022_7512114,7512114,751211,"Information services, n.e.c.","Collecting, disseminating or providing access to information, n.e.c.","Other information technology (IT) and information services / Other information services / Other information services / Information services, n.e.c.",ExternalProductDetail,BaseComparableOffer
CA_NAPCS_2022_7611111,7611111,761111,Regulation of securities markets,"Services provided by central banks, other government agencies, and self-regulatory bodies (such as stock exchanges) to regulate securities markets and the participants in securities markets.",Financial services (except insurance) / Financial system regulatory services / Regulation of securities markets / Regulation of securities markets,ExternalProductDetail,BaseComparableOffer
CA_NAPCS_2022_7611121,7611121,761112,Regulation of credit markets,"Services provided by central banks, other government agencies, and self-regulatory bodies to regulate credit markets and the participants in credit markets.",Financial services (except insurance) / Financial system regulatory services / Regulation of credit markets / Regulation of credit markets,ExternalProductDetail,BaseComparableOffer
CA_NAPCS_2022_7611131,7611131,761113,Regulation of insurance markets,"Services provided by central banks, other government agencies, and self-regulatory bodies to regulate insurance markets and the participants in insurance markets.",Financial services (except insurance) / Financial system regulatory services / Regulation of insurance markets / Regulation of insurance markets,ExternalProductDetail,BaseComparableOffer
CA_NAPCS_2022_7612111,7612111,761211,Deposit account service packages,"Bundled services related to deposit accounts (cheques, account statements, automated banking machine (ATM) transactions, etc.) provided for a flat fee, usually paid monthly. Non-deposit services, such as traveller's cheques, may be included in deposit account service packages.",Financial services (except insurance) / Account and cash management products / Deposit account service packages / Deposit account service packages,ExternalProductDetail,BaseComparableOffer
CA_NAPCS_2022_7612121,7612121,761212,Separately-priced deposit account products,"Services related to deposit accounts, sold on an individual basis.",Financial services (except insurance) / Account and cash management products / Separately-priced deposit account products / Separately-priced deposit account products,ExternalProductDetail,BaseComparableOffer
CA_NAPCS_2022_7612131,7612131,761213,Cash handling and management products,Specialized deposit account and cash management services provided to businesses and government.,Financial services (except insurance) / Account and cash management products / Cash handling and management products / Cash handling and management products,ExternalProductDetail,BaseComparableOffer
CA_NAPCS_2022_7612141,7612141,761214,Payment document products,Issuing documents that can be used as payment instruments.,Financial services (except insurance) / Account and cash management products / Payment document products / Payment document products,ExternalProductDetail,BaseComparableOffer
CA_NAPCS_2022_7612151,7612151,761215,Foreign currency exchange at retail,"Exchanging the currency of one country for that of another in small amounts, for a fee or commission.",Financial services (except insurance) / Account and cash management products / Foreign currency exchange at retail / Foreign currency exchange at retail,ExternalProductDetail,BaseComparableOffer
CA_NAPCS_2022_7613111,7613111,761311,Loans to businesses,"Loans to businesses. Loans represent the direct lending of funds under legal contract, either unsecured or secured by the assets being financed or by other assets, but without the exchange or the use of securities as collateral.",Financial services (except insurance) / Loans / Loans to businesses / Loans to businesses,ExternalProductDetail,BaseComparableOffer
CA_NAPCS_2022_7613121,7613121,761312,Loans to government,Loans to government.,Financial services (except insurance) / Loans / Loans to government / Loans to government,ExternalProductDetail,BaseComparableOffer
CA_NAPCS_2022_7613131,7613131,761313,Residential mortgage loans,"Mortgage loans provided to owner-occupiers, secured by residential real property.",Financial services (except insurance) / Loans / Loans to households / Residential mortgage loans,ExternalProductDetail,BaseComparableOffer
CA_NAPCS_2022_7613132,7613132,761313,Home equity loans,Loans and lines of credit secured by the equity of a borrower's residence.,Financial services (except insurance) / Loans / Loans to households / Home equity loans,ExternalProductDetail,BaseComparableOffer
CA_NAPCS_2022_7613133,7613133,761313,Secured home loans (except residential mortgage and home equity loans) to households,"Secured or guaranteed home loans to households, except residential mortgage and home equity loans.",Financial services (except insurance) / Loans / Loans to households / Secured home loans (except residential mortgage and home equity loans) to households,ExternalProductDetail,BaseComparableOffer
CA_NAPCS_2022_7613134,7613134,761313,Vehicle loans to households,"Loans to households for purchasing automobiles and other vehicles, secured by the vehicle.",Financial services (except insurance) / Loans / Loans to households / Vehicle loans to households,ExternalProductDetail,BaseComparableOffer
CA_NAPCS_2022_7613135,7613135,761313,"Other secured consumer loans to households, n.e.c.","Other secured loans to households, n.e.c.","Financial services (except insurance) / Loans / Loans to households / Other secured consumer loans to households, n.e.c.",ExternalProductDetail,BaseComparableOffer
CA_NAPCS_2022_7613136,7613136,761313,Unsecured loans to households,"Loans and lines of credit, not secured by collateral, for personal uses.",Financial services (except insurance) / Loans / Loans to households / Unsecured loans to households,ExternalProductDetail,BaseComparableOffer
CA_NAPCS_2022_7614111,7614111,761411,Credit card cardholder products for businesses and government,"Provision of a revolving line of credit to business and government holders of credit cards, allowing them to purchase goods and services from merchants who accept their card. Credit granted through credit cards may be unsecured, or secured by a deposit held by the card issuer.",Financial services (except insurance) / Credit financing (except loans) / Credit card products / Credit card cardholder products for businesses and government,ExternalProductDetail,BaseComparableOffer
CA_NAPCS_2022_7614112,7614112,761411,Credit card cardholder products to consumers,"Provision of a revolving line of credit to consumer holders of credit cards, allowing them to purchase goods and services from merchants who accept their card. Credit granted through credit cards may be unsecured, or secured by a deposit held by the card issuer.",Financial services (except insurance) / Credit financing (except loans) / Credit card products / Credit card cardholder products to consumers,ExternalProductDetail,BaseComparableOffer
CA_NAPCS_2022_7614113,7614113,761411,Credit card merchant products,Credit card transaction processing services provided by processors and banks to merchant account holders.,Financial services (except insurance) / Credit financing (except loans) / Credit card products / Credit card merchant products,ExternalProductDetail,BaseComparableOffer
CA_NAPCS_2022_7614114,7614114,761411,Credit card association products,Services provided by credit card associations to issuing banks.,Financial services (except insurance) / Credit financing (except loans) / Credit card products / Credit card association products,ExternalProductDetail,BaseComparableOffer
CA_NAPCS_2022_7614121,7614121,761412,Factoring,"Financing provided to a business from the sale of its accounts receivable to a third party, known as a factor. Normally, the factor assumes the full risk of collection, including credit losses.",Financial services (except insurance) / Credit financing (except loans) / Factoring / Factoring,ExternalProductDetail,BaseComparableOffer
CA_NAPCS_2022_7614131,7614131,761413,"Financial leasing, motor vehicles","Motor vehicle leases in which the lessor is providing a financial service to enable the lessee to enjoy the benefits of ownership of the leased asset. A lessee has the option of purchasing the motor vehicle after the lease term has been completed, at an agreed price. With a finance lease the motor vehicle appears on the lessee's balance sheet, as it is viewed as a purchase.","Financial services (except insurance) / Credit financing (except loans) / Financial leasing / Financial leasing, motor vehicles",ExternalProductDetail,BaseComparableOffer
CA_NAPCS_2022_7614132,7614132,761413,Financial leasing (except motor vehicles),"Leases (except for motor vehicles) in which the lessor is providing a financial service to enable the lessee to enjoy the benefits of ownership of the leased asset. A lessee has the option of purchasing the machinery and equipment after the lease term has been completed, at an agreed price. With a finance lease the equipment appears on the lessee's balance sheet, as it is viewed as a purchase.",Financial services (except insurance) / Credit financing (except loans) / Financial leasing / Financial leasing (except motor vehicles),ExternalProductDetail,BaseComparableOffer
CA_NAPCS_2022_7614141,7614141,761414,Sales financing to businesses,Providing credit by means of conditional sales contracts for purchases by businesses.,Financial services (except insurance) / Credit financing (except loans) / Sales financing / Sales financing to businesses,ExternalProductDetail,BaseComparableOffer
CA_NAPCS_2022_7614142,7614142,761414,Sales financing to consumers,Providing credit by means of conditional sales contracts for purchases by consumers.,Financial services (except insurance) / Credit financing (except loans) / Sales financing / Sales financing to consumers,ExternalProductDetail,BaseComparableOffer
CA_NAPCS_2022_7615111,7615111,761511,Securities lending,"Collateralized lending of securities, to be returned on a specific date or on demand, paid for by fees based on the value of the loaned securities.",Financial services (except insurance) / Other credit financing products / Other credit financing products / Securities lending,ExternalProductDetail,BaseComparableOffer
CA_NAPCS_2022_7615112,7615112,761511,Repurchase agreements,The sale of a security (often Treasury Bills) to a counterparty for cash with an agreement to repurchase it at a fixed price on a specified future date.,Financial services (except insurance) / Other credit financing products / Other credit financing products / Repurchase agreements,ExternalProductDetail,BaseComparableOffer
CA_NAPCS_2022_7615114,7615114,761511,"Other credit financing products, n.e.c.","Provision of credit by means other than loans, credit cards, factoring, leasing, instalment credit products, and financing related to securities lending and repurchase agreements.","Financial services (except insurance) / Other credit financing products / Other credit financing products / Other credit financing products, n.e.c.",ExternalProductDetail,BaseComparableOffer
CA_NAPCS_2022_7616111,7616111,761611,Securities origination products,Assisting the issuers of securities (businesses and government) in creating their securities and in having them distributed to the investing public. The service may involve advising the issuer; purchasing securities from the issuer and selling them (underwriting); or acting as an agent in marketing the securities.,Financial services (except insurance) / Investment products / Securities origination products / Securities origination products,ExternalProductDetail,BaseComparableOffer
CA_NAPCS_2022_7616121,7616121,761612,"Brokering and dealing products, negotiable certificates of deposit","Brokering and dealing negotiable certificates of deposit, with a term of one year or less.","Financial services (except insurance) / Investment products / Brokering and dealing of money market instruments / Brokering and dealing products, negotiable certificates of deposit",ExternalProductDetail,BaseComparableOffer
